year,mean_global_co2_level,mean_global_co2_change
729,279.073,0.00107%
730,279.081,0.00287%
731,279.088,0.00251%
732,279.098,0.00358%
733,279.108,0.00358%
734,279.115,0.00251%
735,279.115,0.00000%
736,279.122,0.00251%
737,279.121,-0.00036%
738,279.127,0.00215%
739,279.131,0.00143%
740,279.137,0.00215%
741,279.142,0.00179%
742,279.146,0.00143%
743,279.154,0.00287%
744,279.161,0.00251%
745,279.172,0.00394%
746,279.178,0.00215%
747,279.193,0.00537%
748,279.203,0.00358%
749,279.207,0.00143%
750,279.213,0.00215%
751,279.214,0.00036%
752,279.227,0.00466%
753,279.231,0.00143%
754,279.234,0.00107%
755,279.247,0.00466%
756,279.258,0.00394%
757,279.268,0.00358%
758,279.273,0.00179%
759,279.278,0.00179%
760,279.288,0.00358%
761,279.294,0.00215%
762,279.296,0.00072%
763,279.301,0.00179%
764,279.303,0.00072%
765,279.306,0.00107%
766,279.311,0.00179%
767,279.313,0.00072%
768,279.32,0.00251%
769,279.322,0.00072%
770,279.324,0.00072%
771,279.328,0.00143%
772,279.327,-0.00036%
773,279.326,-0.00036%
774,279.324,-0.00072%
775,279.327,0.00107%
776,279.333,0.00215%
777,279.345,0.00430%
778,279.349,0.00143%
779,279.347,-0.00072%
780,279.343,-0.00143%
781,279.341,-0.00072%
782,279.342,0.00036%
783,279.338,-0.00143%
784,279.341,0.00107%
785,279.337,-0.00143%
786,279.335,-0.00072%
787,279.328,-0.00251%
788,279.326,-0.00072%
789,279.316,-0.00358%
790,279.316,0.00000%
791,279.311,-0.00179%
792,279.308,-0.00107%
793,279.295,-0.00465%
794,279.294,-0.00036%
795,279.294,0.00000%
796,279.288,-0.00215%
797,279.282,-0.00215%
798,279.277,-0.00179%
799,279.28,0.00107%
800,279.274,-0.00215%
801,279.272,-0.00072%
802,279.273,0.00036%
803,279.273,0.00000%
804,279.276,0.00107%
805,279.281,0.00179%
806,279.283,0.00072%
807,279.285,0.00072%
808,279.293,0.00286%
809,279.295,0.00072%
810,279.298,0.00107%
811,279.302,0.00143%
812,279.303,0.00036%
813,279.305,0.00072%
814,279.307,0.00072%
815,279.311,0.00143%
816,279.313,0.00072%
817,279.315,0.00072%
818,279.32,0.00179%
819,279.319,-0.00036%
820,279.324,0.00179%
821,279.325,0.00036%
822,279.326,0.00036%
823,279.326,0.00000%
824,279.323,-0.00107%
825,279.323,0.00000%
826,279.321,-0.00072%
827,279.322,0.00036%
828,279.323,0.00036%
829,279.326,0.00107%
